date,Bond/Credit Smooth Score Best,Bond/Credit Core Only,Old Best + Bond/Credit Incremental,Existing Smooth Score Best Local,50/50 G-D Buy & Hold,100% G Buy & Hold,100% D Buy & Hold,SPY Buy & Hold
2017-09-15,1.0354213816303022,1.035355740738158,1.0335184607959014,1.0296058009727502,1.0346710137040753,1.045855445176016,1.023342415956254,1.0287824734030326
2017-09-18,1.0372712168370875,1.0371828932330578,1.0351721568402137,1.030646702766357,1.0362859001455516,1.0462946454225561,1.026107080058131,1.0309705817170731
2017-09-19,1.0389095186504442,1.0388257952210693,1.036835192189022,1.0324243708633063,1.0379917235521434,1.0482356692072845,1.0275816432831617,1.032002708281723
2017-09-20,1.037394749712365,1.0372953264548808,1.0351424581309177,1.0303467419212573,1.0363452027271136,1.0455824281119388,1.0269225904120212,1.032374273845374
2017-09-21,1.0338624258555584,1.0337398268351639,1.0313323671266854,1.0260497603656598,1.0326400550959047,1.0403216649420592,1.0247465484207487,1.0296081746519241
2017-09-22,1.0354217737693998,1.0352771891593917,1.0326488830612797,1.0269322730081376,1.03406442745966,1.0402947138970822,1.0276000648756938,1.029814599967683
2017-09-25,1.0309919084020995,1.030773298076925,1.0273145682201064,1.0205306105964294,1.0292321280818453,1.0302936538022065,1.0278749013131898,1.0277090617752316
2017-09-26,1.032554561450018,1.0323472463645194,1.0290097665967497,1.0223585707932452,1.0308641207182374,1.0327040188464929,1.0287298760480423,1.0283283377130787
2017-09-27,1.0385609076738307,1.0383884332425621,1.0354637209487767,1.029070958345836,1.0369847273699826,1.041471254571921,1.032212248938589,1.0323329887822226
2017-09-28,1.0391833963861905,1.0390159899231568,1.0361487280029338,1.0297325265723698,1.0376337753754208,1.0424614376714025,1.0325229907061242,1.033571540657917
2017-09-29,1.0429385694849913,1.0427995463313273,1.0403155418279557,1.0337959621469757,1.0413978189861057,1.0486710426603059,1.0338635940371055,1.0372046261634096
2017-10-02,1.0465547755508875,1.0463988851028048,1.0436061856538785,1.0372109511618892,1.0450634537859935,1.0507551096477283,1.039087184393449,1.0417046979762308
2017-10-03,1.049115046619397,1.0489566784722741,1.0460873725180433,1.0397108670542607,1.0476506805117614,1.0530778652239956,1.041935084420748,1.043934091353423
2017-10-04,1.049866506844706,1.0497077280574278,1.0468095307611496,1.0404319696870457,1.0484250063907872,1.0537586772730392,1.0428016790346464,1.045172643229117
2017-10-05,1.0566293899647259,1.0564897918840304,1.0540384373308942,1.0468740365386489,1.0550312361826826,1.062622571734611,1.0471715447768497,1.0513654026123014
2017-10-06,1.0560666331269812,1.055944883029944,1.0539751727875364,1.0459444325090768,1.0542948930586773,1.064015285811247,1.0443373662692603,1.0501681357997592
2017-10-09,1.055555722153327,1.0554423901423418,1.0537188678180915,1.0451773809270448,1.0536909117171676,1.0644596763788834,1.0427046404634883,1.0485167332972625
2017-10-10,1.0576831097481305,1.057562759478773,1.055489642476439,1.0476002423822437,1.0559783095060817,1.065506699302553,1.0462061128423268,1.0509938370486505
2017-10-11,1.059677336431923,1.059567297586327,1.0579703187545486,1.0489613916169847,1.0577450262810042,1.0691108437478,1.0461679884387636,1.0526865246142991
2017-10-12,1.0587048403971775,1.0585968280413363,1.0570653976461706,1.0478902274638442,1.0567534006296329,1.068339781470838,1.0449609593267377,1.0511589773012575
2017-10-13,1.0612097999967478,1.0611069800536315,1.0598846714789574,1.04984877449561,1.059074986933208,1.0719420053032966,1.0460289229863093,1.0523975291769516
2017-10-16,1.0633775382887949,1.0632770359779606,1.0621667636059224,1.051713179781401,1.0611459347792587,1.0746694529407246,1.0474582828984815,1.0540076466162966
2017-10-17,1.0641942864522957,1.0640937341575647,1.0628862606418676,1.052665270142926,1.0620225662318439,1.0751912262756675,1.048680368808154,1.05454435242784
2017-10-18,1.0663526089721131,1.0662478058759073,1.0648126174179422,1.0554185616688996,1.0644041980583214,1.0762621483912316,1.0523392750232643,1.0556177640556417
2017-10-19,1.0654271564579705,1.0653164944095475,1.0635596459103993,1.0556300796687326,1.0638862268954754,1.0734255436679323,1.0540886284237914,1.056154469867185
2017-10-20,1.0708363763669342,1.0707222213363505,1.0688607247254582,1.0613659123477253,1.0694275024513415,1.0782765530595007,1.0603054952272926,1.0613151026857195
2017-10-23,1.0670950938070898,1.0669756771665408,1.0649124541180013,1.058783407924194,1.0661013207726135,1.0727685084923628,1.0591261201650843,1.0575581619907712
2017-10-24,1.0688394877203826,1.0687213297929488,1.066690991094027,1.0602303646592037,1.067756532798685,1.0749288839586792,1.0602819830560195,1.0591682794301163
2017-10-25,1.0634118113092148,1.0632979757378445,1.061386175079244,1.0539872707632858,1.062052927582899,1.0706092324031649,1.053215418116362,1.0540902167378854
2017-10-26,1.06472923442607,1.0646152969011633,1.062692081282402,1.0554324925415672,1.063431134039358,1.0717463775951426,1.0548302240926668,1.054750777738884
2017-10-27,1.0798535348867973,1.079757468301228,1.0785441330238783,1.0633087171250988,1.0761167469229234,1.0955045871756035,1.0566130338157727,1.0639573466849999
2017-10-30,1.0781606203604521,1.078070481545639,1.077057072875244,1.0590997896737975,1.073568338320382,1.0968005314301157,1.0503586552616895,1.0602004059947665
2017-10-31,1.0809031143431445,1.0808153978243056,1.0797947182288707,1.0610701035955012,1.0760604771623554,1.1004839216235969,1.0517077526449985,1.0616453831862191
2017-11-01,1.0817623495302149,1.0816723293549428,1.0806252674367025,1.0626682186703658,1.0771743536984377,1.1004179288238753,1.053948156445198,1.0630490753098054
2017-11-02,1.0812346501206358,1.081144794201199,1.0800664986861823,1.0621817972028582,1.0766663893473287,1.099852481271119,1.053495702505303,1.0634619259366083
2017-11-03,1.0865175027601865,1.0864394653091045,1.0850691540347797,1.0652466473466153,1.0812467134787482,1.1080923473248823,1.0545666358803625,1.0670124413157975
2017-11-06,1.088613610254403,1.088546083231159,1.0869272922256523,1.066214554857928,1.0830009408789947,1.1117933026355948,1.0544663355697623,1.0686638438135798
