date,portfolio,dependent_return,window,n_obs,alpha_daily,alpha_annualized,r2,beta_mkt_rf,beta_smb,beta_hml,beta_rmw,beta_cma,beta_mom
2021-10-05,G-D,G-D zero-cost return,504,504,0.0002455095717184866,0.063814271340906,0.7992881194200974,0.20018895683696847,-0.08251522008652193,-0.5574682926327499,0.13884655019141146,-0.2714894226533494,0.0943156574240641
2021-10-06,G-D,G-D zero-cost return,504,504,0.00024571490426561,0.06386930504267485,0.7994172849850618,0.20023459875909783,-0.08268290323290123,-0.5574912355981613,0.13896503774526833,-0.2717801623077515,0.09423538592164893
2021-10-07,G-D,G-D zero-cost return,504,504,0.00024076357386100392,0.06254302799263001,0.7992902724690433,0.2000623610959624,-0.08308486272912481,-0.5572735468760456,0.13873469272660566,-0.2721286850555853,0.09408968524980497
2021-10-08,G-D,G-D zero-cost return,504,504,0.0002478789225170367,0.06444948265065187,0.7991065750257913,0.19993106236259686,-0.08430941926504118,-0.5559405007351956,0.13742758926329587,-0.2706620624493645,0.09457125327436774
2021-10-11,G-D,G-D zero-cost return,504,504,0.0002492744052822507,0.06482378148677403,0.7991187663793752,0.19996273906738807,-0.08443447973888565,-0.5558368273828563,0.13740451108981952,-0.27083169452158,0.09457284568200529
2021-10-12,G-D,G-D zero-cost return,504,504,0.0002471635079764011,0.06425764372345188,0.799079433429543,0.20004443124414237,-0.08432903874582978,-0.5560148618721963,0.13852724346314343,-0.2706003052037511,0.0946545665898449
2021-10-13,G-D,G-D zero-cost return,504,504,0.000240430488114024,0.06245386586643109,0.7991016695387858,0.20000132520534117,-0.08414460587157721,-0.555867600684763,0.13916747304167734,-0.26920764173410106,0.09505555359700833
2021-10-14,G-D,G-D zero-cost return,504,504,0.0002417024528797394,0.0627943921277816,0.7991783006955773,0.19983618527767905,-0.08377415401995482,-0.555638621829668,0.13938465115431561,-0.27123396804543987,0.09504954269671768
2021-10-15,G-D,G-D zero-cost return,504,504,0.0002438571274374584,0.06337148264267611,0.7991526444369321,0.19982404873847948,-0.08375349176385238,-0.5556143359683176,0.13964713723736402,-0.27121711342664145,0.09511348978016775
2021-10-18,G-D,G-D zero-cost return,504,504,0.00026871436601077917,0.07005165577150962,0.7990096813533616,0.19973480990258852,-0.08207752291293757,-0.55515991651747,0.14560558188142242,-0.2746480930415881,0.09711040144174439
2021-10-19,G-D,G-D zero-cost return,504,504,0.0002712090879000265,0.07072439488562487,0.7987792819864717,0.19944381639391134,-0.08232688445299054,-0.5540533354102369,0.14547518388151395,-0.2748635276346426,0.0978219424862232
2021-10-20,G-D,G-D zero-cost return,504,504,0.0002577379861025924,0.06709670827670866,0.7990969172647994,0.1993374077515727,-0.08205072064140857,-0.5550503539974877,0.14570255943737093,-0.2760014916660224,0.0972624379263421
2021-10-21,G-D,G-D zero-cost return,504,504,0.00027204596461014003,0.07095016557186229,0.7994554081628583,0.1991779970949272,-0.08099390790245276,-0.5566473023900707,0.14640997765473612,-0.2735693205815338,0.09570068809687954
2021-10-22,G-D,G-D zero-cost return,504,504,0.000264387182934871,0.06888576435687255,0.7997306340761924,0.19922032389946223,-0.08063169808555914,-0.5571601530673087,0.14654428990712423,-0.27402610316520726,0.09548909715524291
2021-10-25,G-D,G-D zero-cost return,504,504,0.0002595911143688421,0.06759501742737739,0.7995173214640315,0.19925921644560163,-0.08039221142186398,-0.557272369797632,0.14564723548231753,-0.2721104290515485,0.09530301792484798
2021-10-26,G-D,G-D zero-cost return,504,504,0.00025769157042692726,0.06708423000179198,0.7996262091835373,0.1992030540419288,-0.0814851493901586,-0.5564756720801878,0.14405255974302356,-0.272111993018614,0.09544155251415697
2021-10-27,G-D,G-D zero-cost return,504,504,0.0002641618763460674,0.0688250937076178,0.7997549078296811,0.19856645579095158,-0.08125418013008348,-0.5571041186481952,0.14961849733962282,-0.2777202708733456,0.095560260508321
