method,config_id,cost_bps,n_days,start_date,end_date,total_return,cagr,ann_vol,sharpe,sortino,max_drawdown,calmar,annual_turnover,avg_g_weight,selection_score
smooth_core_only,core_a0.67_tilt0.10_tau1.0_eta0.05,5,2360,2016-12-21,2026-05-15,3.4431213672189624,0.1726270924447888,0.1879550675426329,0.9417995507331836,1.1140138725295117,-0.3321633468867947,0.5197054222349891,0.8557216613409669,0.4835663414624008,
smooth_core_only,core_a0.67_tilt0.10_tau1.0_eta0.05,10,2360,2016-12-21,2026-05-15,3.425359886049635,0.17212565577232364,0.18795551648548967,0.939520907079304,1.1107696933300621,-0.3321994008019633,0.5181395732707366,0.8557216613409669,0.4835663414624008,0.4340909090909091
smooth_core_only,core_a0.67_tilt0.10_tau1.0_eta0.05,20,2360,2016-12-21,2026-05-15,3.3900495099432204,0.1711234217394204,0.1879564203539241,0.9349636226672077,1.1042855536438134,-0.3322715030571227,0.5150108274858636,0.8557216613409669,0.4835663414624008,
smooth_core_only,core_a0.67_tilt0.10_tau1.0_eta0.15,0,2360,2016-12-21,2026-05-15,3.47204968290713,0.1734399677584102,0.1882380183671962,0.9443441321017403,1.1204559631824316,-0.33039206891476114,0.5249519709359504,1.7501855570452898,0.48386592839205195,
smooth_core_only,core_a0.67_tilt0.10_tau1.0_eta0.15,5,2360,2016-12-21,2026-05-15,3.4355765108815355,0.17241430752206077,0.1882372707477919,0.9396990011717624,1.1138419004215308,-0.33042826387683555,0.5217904349318218,1.7501855570452898,0.48386592839205195,
smooth_core_only,core_a0.67_tilt0.10_tau1.0_eta0.15,10,2360,2016-12-21,2026-05-15,3.399400595984271,0.1713895377779988,0.18823653424292222,0.9350537781328394,1.1072333532726388,-0.3304644569947276,0.5186322890413998,1.7501855570452898,0.48386592839205195,0.3227272727272727
smooth_core_only,core_a0.67_tilt0.10_tau1.0_eta0.15,20,2360,2016-12-21,2026-05-15,3.3279308735449264,0.16934266669557396,0.18823509457730653,0.9257630590126923,1.094211718100264,-0.33053683769832165,0.5123261536438237,1.7501855570452898,0.48386592839205195,
smooth_core_only,core_a0.67_tilt0.10_tau1.5_eta0.05,0,2360,2016-12-21,2026-05-15,3.451696965489867,0.17286855547575786,0.18812884959490908,0.9422011772456782,1.1151463371600214,-0.3325892120048114,0.5197659732669172,0.6672234903746508,0.4877145140152545,
smooth_core_only,core_a0.67_tilt0.10_tau1.5_eta0.05,5,2360,2016-12-21,2026-05-15,3.4378143390665086,0.1724774539045102,0.1881292742661235,0.9404257392007042,1.1127922675108155,-0.3326233897534647,0.5185367572387131,0.6672234903746508,0.4877145140152545,
smooth_core_only,core_a0.67_tilt0.10_tau1.5_eta0.05,10,2360,2016-12-21,2026-05-15,3.4239749773146686,0.1720864819475174,0.1881297002257388,0.9386503027429164,1.1102589499883049,-0.3326575658325279,0.5173081860225962,0.6672234903746508,0.4877145140152545,0.4136363636363637
smooth_core_only,core_a0.67_tilt0.10_tau1.5_eta0.05,20,2360,2016-12-21,2026-05-15,3.396425509266937,0.17130492670554154,0.18813055601013717,0.9350994347349395,1.1053735497030674,-0.3327259129821952,0.5148529766441978,0.6672234903746508,0.4877145140152545,
smooth_core_only,core_a0.67_tilt0.10_tau1.5_eta0.15,0,2360,2016-12-21,2026-05-15,3.4625351714888035,0.17317313305902826,0.18836002481294337,0.9426503302637255,1.1171186554163146,-0.3308320651385608,0.5234472450138683,1.3758310344386702,0.4879912733738469,
smooth_core_only,core_a0.67_tilt0.10_tau1.5_eta0.15,5,2360,2016-12-21,2026-05-15,3.433898784189724,0.1723669472528866,0.18835945386191869,0.9390010453674588,1.1119184195346115,-0.3308727104825142,0.520946399603408,1.3758310344386702,0.4879912733738469,
smooth_core_only,core_a0.67_tilt0.10_tau1.5_eta0.15,10,2360,2016-12-21,2026-05-15,3.4054460305969814,0.17156131181253564,0.18835888943184748,0.9353517059661393,1.1067216748287523,-0.3309133534961195,0.5184478353622786,1.3758310344386702,0.4879912733738469,0.36818181818181817
smooth_core_only,core_a0.67_tilt0.10_tau1.5_eta0.15,20,2360,2016-12-21,2026-05-15,3.349086725067197,0.16995169053644044,0.18835778013479934,0.928052865161324,1.096694101308657,-0.3309946325327894,0.5134575423050236,1.3758310344386702,0.4879912733738469,
