method_label,n_days,start_date,end_date,total_return,cagr,ann_vol,sharpe,sortino,max_drawdown,calmar,annual_turnover,avg_g_weight,final_wealth,static_g_weight,ann_excess_vs_smooth
Static G/D 42% G,2233,2017-06-28,2026-05-15,2.8413783867813227,0.16402129455415504,0.1886537417817097,0.8999820882353099,1.053595670605324,-0.3402639019477012,0.48204142024846713,0.0,0.41999999999999993,3.8413783867813227,0.42,-0.02837695098439319
Static G/D 43% G,2233,2017-06-28,2026-05-15,2.868036647377698,0.16493012808014385,0.18921672877862705,0.901992335740174,1.0572576107764329,-0.33971511660027753,0.4854954048871698,0.0,0.43000000000000005,3.868036647377698,0.43,-0.027468117458404384
Static G/D 44% G,2233,2017-06-28,2026-05-15,2.8948021786323093,0.1658370454256317,0.1897899207317928,0.9039420489807434,1.0613753190783946,-0.33916611431868127,0.48895522997268187,0.0,0.44,3.8948021786323093,0.44,-0.026561200112916517
Static G/D 45% G,2233,2017-06-28,2026-05-15,2.9216746486055634,0.1667420409387046,0.1903732254633699,0.9058318997983837,1.0650888843688666,-0.3386168952842388,0.4924209136072182,0.0,0.45000000000000007,3.9216746486055634,0.45,-0.025656204599843635
Static G/D 46% G,2233,2017-06-28,2026-05-15,2.9486537165743467,0.1676451089752038,0.19096655030534831,0.9076625769545397,1.0678631445669846,-0.3380674596786398,0.4958924740481201,0.0,0.46,3.9486537165743467,0.46,-0.024753136563344436
Static G/D 47% G,2233,2017-06-28,2026-05-15,2.97573903299734,0.16854624389876616,0.1915698021557008,0.9094347849809453,1.0714409348254004,-0.3375178076839307,0.49936992970931376,0.0,0.4699999999999999,3.97573903299734,0.47,-0.023852001639782072
Static G/D 48% G,2233,2017-06-28,2026-05-15,3.0029302394820405,0.16944544008089957,0.19218288753339818,0.9111492430454925,1.075454500749004,-0.336967939482518,0.5028532991628731,0.0,0.48,4.0029302394820405,0.48,-0.022952805457648662
Static G/D 49% G,2233,2017-06-28,2026-05-15,3.0302269687512604,0.17034269190101914,0.1928057126322412,0.9128066838355888,1.0782185751247557,-0.33641785525716783,0.5063426011404898,0.0,0.49000000000000016,4.03022696875126,0.49,-0.02205555363752909
Static G/D 50% G,2233,2017-06-28,2026-05-15,3.057628844611277,0.17123799374651671,0.1934381833734724,0.9144078524606916,1.0812440057999224,-0.3358675551910051,0.5098378545350565,0.0,0.5,4.057628844611277,0.5,-0.021160251792031515
Static G/D 51% G,2233,2017-06-28,2026-05-15,3.085135481920127,0.1721313400128126,0.19408020545713334,0.9159535053755856,1.0845293644924865,-0.33531703946751545,0.5133390784022123,0.0,0.5099999999999999,4.085135481920127,0.51,-0.020266905525735623
Static G/D 52% G,2233,2017-06-28,2026-05-15,3.112746486556473,0.173022725103404,0.19473168441213728,0.9174444093258234,1.0874574036638063,-0.33476630827054454,0.5168462919618961,0.0,0.52,4.112746486556473,0.52,-0.019375520435144233
Static G/D 53% G,2233,2017-06-28,2026-05-15,3.140461455389562,0.17391214342992667,0.19539252564503218,0.9188813403166202,1.0898317645002567,-0.33421536178429667,0.5203595145999601,0.0,0.5300000000000001,4.140461455389562,0.53,-0.01848610210862156
Static G/D 54% G,2233,2017-06-28,2026-05-15,3.1682799762498277,0.17479958941221452,0.19606263448743125,0.9202650826063656,1.092295847587885,-0.3336642001933392,0.5238787658697823,0.0,0.5399999999999999,4.168279976249828,0.54,-0.01759865612633371
Static G/D 55% G,2233,2017-06-28,2026-05-15,3.1962016278996046,0.17568505747834084,0.196741916242093,0.9215964277257841,1.0951677626042884,-0.33311282368259654,0.5274040654938602,0.0,0.5499999999999999,4.196201627899605,0.55,-0.016713188060207385
Static G/D 56% G,2233,2017-06-28,2026-05-15,3.2242259800054667,0.17656854206468808,0.19743027622763584,0.9228761735236568,1.0979880663306554,-0.332561232437356,0.530935433365487,0.0,0.56,4.224225980005467,0.56,-0.015829703473860146
Static G/D 57% G,2233,2017-06-28,2026-05-15,3.252352593110488,0.17745003761599265,0.19812761982187552,0.924105123239888,1.100910469823143,-0.3320094266432638,0.5344728895503875,0.0,0.57,4.252352593110488,0.57,-0.014948207922555579
Static G/D 58% G,2233,2017-06-28,2026-05-15,3.280581018607797,0.1783295385854069,0.19883385250377725,0.9252840846065974,1.1042111049723067,-0.3314574064863285,0.5380164542884106,0.0,0.58,4.280581018607797,0.58,-0.01406870695314133
Static G/D 59% G,2233,2017-06-28,2026-05-15,3.3089107987143844,0.17920703943454752,0.19954887989401812,0.9264138689777893,1.1066927139637122,-0.3309051721529195,0.5415661479952072,0.0,0.5899999999999999,4.308910798714384,0.59,-0.013191206104000708
Static G/D 60% G,2233,2017-06-28,2026-05-15,3.3373414664462286,0.18008253463355905,0.20027260779415604,0.9274952904880613,1.109421759374518,-0.33035272382976655,0.5451219912639711,0.0,0.6000000000000001,4.337341466446229,0.6,-0.012315710904989174
Static G/D 61% G,2233,2017-06-28,2026-05-15,3.3658725455934757,0.18095601866115896,0.201004942224408,0.928529165240692,1.112235489547375,-0.32980006170396126,0.5486840048671389,0.0,0.6100000000000001,4.365872545593476,0.61,-0.011442226877389272
Static G/D 62% G,2233,2017-06-28,2026-05-15,3.3945035506970287,0.1818274860047,0.20174578946003946,0.9295163105253696,1.114664453372613,-0.32924718596295555,0.5522522097581659,0.0,0.62,4.394503550697029,0.62,-0.010570759533848229
Static G/D 63% G,2233,2017-06-28,2026-05-15,3.4232339870255277,0.1826969311602229,0.2024950560663709,0.9304575440657149,1.1166101597925597,-0.32869409679456385,0.5558266270732869,0.0,0.63,4.423233987025528,0.63,-0.009701314378325332
Static G/D 64% G,2233,2017-06-28,2026-05-15,3.4520633505532166,0.18356434863251048,0.2032526489324112,0.9313536832966669,1.1187726502163386,-0.3281407943869631,0.5594072781333018,0.0,0.6399999999999999,4.452063350553217,0.64,-0.008833896906037753
Static G/D 65% G,2233,2017-06-28,2026-05-15,3.4809911279385055,0.18442973293514098,0.2040184753031266,0.9322055446717266,1.120428882566404,-0.3275872789286901,0.5629941844453857,0.0,0.6499999999999999,4.4809911279385055,0.65,-0.007968512603407252
Static G/D 66% G,2233,2017-06-28,2026-05-15,3.510016796503531,0.18529307859054645,0.20479244281035897,0.9330139429999612,1.1229027713422433,-0.32703355060864525,0.5665873677049212,0.0,0.6600000000000001,4.510016796503531,0.66,-0.007105166948001784
