date,Smooth Score Best Local,100% G Buy & Hold,Vol-Matched 100% G,50/50 G-D,100% D Buy & Hold,SPY Buy & Hold,Vol-Matched Static G/D (49% G),MaxDD-Matched Static G/D (87% G),Best Sharpe Static G/D (89% G),Best Calmar Static G/D (87% G),Best CAGR Static G/D under Smooth MaxDD (86% G)
2018-07-20,1.1836882783326992,1.2811184759095566,1.2273259483031795,1.2100674949071513,1.1410597318019737,1.170441569138069,1.2086669252470381,1.262455399147728,1.2653181069457162,1.262455399147728,1.261025216475706
2018-07-23,1.1864082529496807,1.284778466590411,1.230199393218564,1.2122922952469652,1.1419957196627146,1.1726177333829422,1.2108645349212361,1.265727827982154,1.268649494978396,1.265727827982154,1.2642682561756187
2018-07-24,1.1903898290446453,1.2889137924602934,1.2334443526561556,1.2165632437785552,1.1463665520980113,1.1785184864337164,1.21513782340133,1.2699019864752565,1.2728178452199996,1.2699019864752565,1.2684452962886494
2018-07-25,1.2035845031079764,1.306109138728312,1.2469295991843425,1.2283455175078453,1.1532777765877078,1.1885623214082404,1.2268174393922249,1.2856365541224555,1.2887746821791457,1.2856365541224555,1.2840690643612191
2018-07-26,1.19616025714353,1.2920313385474131,1.2359154859447765,1.2240091000108257,1.1575654822937125,1.1857584174748075,1.2226642592073378,1.274202217437066,1.2769387867839372,1.274202217437066,1.27283481089035
2018-07-27,1.1831774159331654,1.2735538916019367,1.2214307705970675,1.2127839606585453,1.152888325112365,1.1777233494951884,1.2115769054479,1.257679371673739,1.260118412942066,1.257679371673739,1.2564602966880962
2018-07-30,1.1721598111683855,1.2552622327620286,1.207054147184056,1.2041587364952753,1.1530483996866219,1.1715715005718192,1.2031359630256353,1.24198669035526,1.2440298254647095,1.24198669035526,1.240965032405441
2018-07-31,1.178284214539418,1.2618262297453113,1.2122267953282815,1.2104841975469864,1.159132853241375,1.1773467056839384,1.2094566248208696,1.2484889617970263,1.2505416077447837,1.2484889617970263,1.2474625464941946
2018-08-01,1.1800189016602975,1.269474262875638,1.2182480412325483,1.2103740378318095,1.151896280152636,1.1753797880003471,1.2091977449631053,1.2540591452184822,1.256428686777396,1.2540591452184822,1.2528746605512193
2018-08-02,1.1901786227775624,1.2839969974447139,1.2296692611983158,1.2198178068046188,1.1566936423769143,1.1817827327963115,1.2185443644301839,1.2672194711267433,1.2697966946867005,1.2672194711267433,1.2659314070242702
2018-08-03,1.1951905181283144,1.2878748373192794,1.2327127131898283,1.2253581850512585,1.1637076155111672,1.1868464995972443,1.2241160473372195,1.2715480521562463,1.27405678190795,1.2715480521562463,1.2702941191816468
2018-08-06,1.1997957624279874,1.2946406568466444,1.2380198575472645,1.2298055843804412,1.1660413865197659,1.1911988280869903,1.2285191789017678,1.2776911984929875,1.2802948115989476,1.2776911984929875,1.2763899481397005
2018-08-07,1.2038534069736802,1.2992077700862568,1.241598945936355,1.2339994135137728,1.169880700377096,1.1951326634541732,1.232705732916839,1.2821594685769713,1.2847782068933478,1.2821594685769713,1.280850666744003
2018-08-08,1.2040534783792722,1.300892696951846,1.2429185269423115,1.2341374666089033,1.1686252559156718,1.1946304717042686,1.2328144258258396,1.2834272479069846,1.2861094747666948,1.2834272479069846,1.2820867954470654
2018-08-09,1.2030954469307273,1.3009094110960837,1.2429316138670976,1.233160519001272,1.166760065354143,1.1929983485206135,1.2318186907471158,1.2831752992686958,1.2858983841040832,1.2831752992686958,1.281814482412213
2018-08-10,1.1950673987401674,1.2916485858890756,1.2356805431473197,1.2249784734063955,1.159582962928098,1.1850051298523079,1.2236574650977419,1.2742020968395946,1.2768812591004262,1.2742020968395946,1.2728631966879937
2018-08-13,1.1914821635104322,1.2894343242807302,1.2339445698505986,1.2213092656200977,1.154624171571688,1.180569102739935,1.219960863241741,1.2715933468253997,1.274332452971375,1.2715933468253997,1.2702245762824493
2018-08-14,1.19907543617485,1.2975573157597058,1.2403149404259313,1.2291042852979543,1.1620892402336538,1.1881019789696492,1.2277492983436873,1.2796313396138823,1.2823835367570307,1.2796313396138823,1.2782560217116432
2018-08-15,1.1899913787730536,1.2851204464793853,1.2305724773425482,1.219758183651092,1.1555546314384681,1.1792299247401885,1.218462139465646,1.2680253209209529,1.2706509483710942,1.2680253209209529,1.2667131172658954
2018-08-16,1.1992152090479367,1.2913835756156564,1.2354872904201968,1.2291933353102122,1.1677999912997437,1.1887715679695223,1.2279570031096776,1.2751485966454579,1.2776435254684202,1.2751485966454579,1.273901520354055
2018-08-17,1.203733138467729,1.2936675894364231,1.2372780365689278,1.2338338268815163,1.1745519891290441,1.1929564992093002,1.2326421070409534,1.2780691541239746,1.280467249650128,1.2780691541239746,1.2768703451974954
2018-08-20,1.2057504194605868,1.2936172341275682,1.2372385688392817,1.235895272506958,1.1785225072112882,1.1955093072654235,1.2347437102726673,1.2785875321274223,1.280899032285055,1.2785875321274223,1.2774318979903256
2018-08-21,1.208584089238749,1.2968741671489468,1.2397913216278267,1.238823031954263,1.1811390413840221,1.1983132111941417,1.237665068220168,1.281757173456491,1.284082025540462,1.281757173456491,1.2805948739588138
2018-08-22,1.208652865881917,1.3009868106808196,1.243013310939559,1.238752786608365,1.1772594677941404,1.1976017728829553,1.2375149873446754,1.284746158073582,1.287242227132405,1.284746158073582,1.2834984755071284
2018-08-23,1.207525224671522,1.3015150479697943,1.2434269144495713,1.237505645004316,1.1744110035847142,1.1960114990153285,1.2362341246949828,1.2847958779123263,1.2873647882099513,1.2847958779123263,1.2835118805235501
2018-08-24,1.2157947603139196,1.3138673147365045,1.2530978838006548,1.2456674220546555,1.1787563332199786,1.2032095807451064,1.2443159293241797,1.2960222896667752,1.2987627410662024,1.2960222896667752,1.2946527488363357
2018-08-27,1.2246435588132434,1.3253908009017217,1.2621046657185462,1.2545126940405784,1.1851581553137271,1.2127093746584123,1.2531100486065676,1.30682658670514,1.3096766325433535,1.30682658670514,1.3054023916246975
2018-08-28,1.2258310958598289,1.3280628446209957,1.2641898635021591,1.2555429482090594,1.1847154216159426,1.2132952650356585,1.2541092064602846,1.309055239892875,1.3119727384348268,1.309055239892875,1.307597422009924
2018-08-29,1.2335429163089655,1.34073564690385,1.2740758180887615,1.2626822504989255,1.1868836082743333,1.2198237577702777,1.2611436369049718,1.3202342270322898,1.3233790038609878,1.3202342270322898,1.3186631153924173
2018-08-30,1.2293162560504387,1.3370583227737252,1.2712120601720927,1.2581890020179776,1.1816919134833925,1.2148855389032853,1.2566352885436136,1.3163331256233528,1.3195117908370286,1.3163331256233528,1.3147451429560488
2018-08-31,1.2305662998341582,1.3395823091360552,1.2731786189499543,1.2592449123317833,1.1814446380555639,1.2149273882193132,1.2576635436515184,1.3184591480219745,1.3216982866981997,1.3184591480219745,1.3168410307589384
2018-09-04,1.2280351612998923,1.3371866715931815,1.271312697666949,1.2565921295537363,1.1785797002810428,1.2128349225970672,1.2550060859968324,1.3159921733268611,1.3192420790442774,1.3159921733268611,1.314368700747436
2018-09-05,1.2206561505774451,1.3215149357176514,1.2591023023707093,1.2511200111620135,1.182127782573232,1.209570676229758,1.2497257418644332,1.303088898076859,1.3059182791566648,1.303088898076859,1.3016749554338107
2018-09-06,1.215213788157974,1.313702015434682,1.2530019543765991,1.246101889018266,1.1796338310408876,1.2059297860511982,1.2447607313202649,1.2960290433178472,1.2987437834746554,1.2960290433178472,1.2946722557370691
2018-09-07,1.2114098445926478,1.3099006634210617,1.2500306629830964,1.2421400442824164,1.1755462072977483,1.2035862245563569,1.2407960362805068,1.2921825340713673,1.2949040629105408,1.2921825340713673,1.2908223736912154
2018-09-10,1.2149343510497335,1.313622611951532,1.2529414132236874,1.2457874611209498,1.1791097549221943,1.205678690178603,1.24444186408708,1.2958860552235227,1.2986104636001103,1.2958860552235227,1.2945244490506997
2018-09-11,1.2198656773734307,1.3225880356633235,1.2599492381375268,1.2497066195424769,1.1784811665120498,1.2096543748570991,1.248265222506317,1.3034908497019988,1.3064223512543698,1.3034908497019988,1.302026001102321
2018-09-12,1.219055856531511,1.3197824508536327,1.2577589354565322,1.2494348666656643,1.1804685304005729,1.2099473200410076,1.2480413127776366,1.301370998159557,1.3041982439700834,1.301370998159557,1.29995810856548
2018-09-13,1.2280202962470987,1.3327686943894208,1.2679011053191913,1.2578669282950872,1.1847863489245731,1.2171035524641864,1.2563868162015965,1.3131302242202167,1.3161442673695147,1.3131302242202167,1.3116242047068336
2018-09-14,1.2277819040043627,1.3315134628875083,1.2669225019600803,1.257861786395128,1.185892521005243,1.2173127990254682,1.256405243501695,1.3122136442843475,1.3151762158323137,1.3122136442843475,1.3107332750997902
2018-09-17,1.2183921544763847,1.314828487773791,1.2539123513012016,1.2493136323484033,1.1846346108991512,1.2108680049134757,1.2480110988170825,1.2977271718740633,1.3003553332438889,1.2977271718740633,1.2964134880496678
2018-09-18,1.2254266424600653,1.3241382855720492,1.2611883162523756,1.2563558474801038,1.189601922308006,1.2174383469594086,1.255009935410313,1.3064287473295344,1.3091496266987996,1.3064287473295344,1.305068820987275
2018-09-19,1.2240671089060509,1.3216064768911284,1.2592121214381105,1.2550978085416407,1.1894941005729467,1.2187356756478416,1.2537761030092651,1.30424013981517,1.3069087711533203,1.30424013981517,1.3029062623004588
2018-09-20,1.2351916672611563,1.3351109022752208,1.2697566003256202,1.2665278857491757,1.1990048832601718,1.2286121133723975,1.2651662779236208,1.3171902789983603,1.319943500904989,1.3171902789983603,1.3158141995071566
2018-09-21,1.2343590108204783,1.330639168359259,1.2662713709568902,1.2656710180264386,1.2013983822442256,1.2274880410514657,1.264377961782732,1.313693915052318,1.3162987116884997,1.313693915052318,1.3123918260507954
2018-09-24,1.2314226148329426,1.3338840864879755,1.2688019651283988,1.2630452512649106,1.1934837798531106,1.2234102870152606,1.2616407492682107,1.315355972698844,1.3182016947268753,1.315355972698844,1.3139337740454724
2018-09-25,1.228230420532254,1.3349098165524984,1.2696015436342991,1.2601993666797509,1.187187716459587,1.22227524208284,1.258721771369753,1.315333894423555,1.3183389220185657,1.315333894423555,1.3138323009434523
2018-09-26,1.224876411587059,1.3319496735459184,1.267294368925327,1.256883179947428,1.1835721714858567,1.218617875062135,1.2553990508699142,1.3122755807708055,1.3152954526015477,1.3122755807708055,1.3107666003471299
2018-09-27,1.2283096388375514,1.3401819457156783,1.2737132848076584,1.261079382859491,1.1841598607207495,1.2220230098735403,1.259518941021243,1.3194165746602045,1.3226024045676852,1.3194165746602045,1.3178248778212076
2018-09-28,1.2297880489666,1.3425763071800156,1.2755781605695775,1.2627550402873746,1.1851911488742175,1.2221491259781903,1.261180991706173,1.3216167736170392,1.324832137985332,1.3216167736170392,1.320010355326316
2018-10-01,1.2334195713147063,1.3464479329013535,1.2785926498049183,1.2664965933701662,1.1887968405672855,1.2263950348158807,1.264919880579558,1.3254551996854147,1.328675701302686,1.3254551996854147,1.3238462087956369
2018-10-02,1.2340115788439292,1.344082821788712,1.2767521047081298,1.2665398233572625,1.1909661843594739,1.225680376889531,1.2650083583218266,1.3237440679330956,1.3268652421349787,1.3237440679330956,1.3221845661620597
2018-10-03,1.2356681520635076,1.346487641109134,1.2786241453757647,1.2683946067316256,1.1923235389913982,1.226352996114331,1.2668526829538136,1.3260007302940728,1.3291444608168355,1.3260007302940728,1.324429982612924
2018-10-04,1.224757991152106,1.3241991302719462,1.261279163218492,1.2548362539179547,1.1865697594697022,1.2167681722033652,1.2534593810864572,1.3060729091728753,1.3088576462263533,1.3060729091728753,1.304681088545623
2018-10-05,1.216462889991501,1.309821640558348,1.2500565689258278,1.2450294515654217,1.180906367102585,1.2099579025805547,1.2437396071011806,1.2929253236906868,1.2955227510240324,1.2929253236906868,1.2916268982817922
2018-10-08,1.216272993123502,1.2990969124992982,1.2416686143735507,1.242091576876047,1.1850024168227777,1.2099579025805547,1.2409497524741464,1.2842981684873112,1.2865762391883462,1.2842981684873112,1.2831589653512878
2018-10-09,1.21402949964706,1.3017697437004063,1.243762186656888,1.241235116756701,1.1809301389198419,1.2081922771248843,1.2400259022989848,1.2860232859178606,1.288445784775031,1.2860232859178606,1.2848120562223153
2018-10-10,1.1777520232471217,1.2452150641693749,1.1994805161264868,1.1990532456571936,1.1519700484170552,1.1699370588841203,1.1981197543765352,1.2333160292176795,1.2351516603696224,1.2333160292176795,1.2323975450159428
2018-10-11,1.152990593894729,1.2269359551753063,1.1850508550993344,1.1762733080084329,1.1251094924316303,1.1441673349518422,1.175254062876051,1.2138267190446916,1.2158467173479484,1.2138267190446916,1.2128162997221272
2018-10-12,1.1672351195431803,1.2598849829674776,1.2111309984246672,1.1963723340570713,1.1333445623374394,1.1600579640670188,1.195106082752698,1.2433410690339024,1.2458852242903748,1.2433410690339024,1.2420691530216783
2018-10-15,1.162211809239641,1.2445350856906134,1.1990384462853905,1.188090429474585,1.1314615576382836,1.1535419653550585,1.1869586942139958,1.2298934703199975,1.2321479218888867,1.2298934703199975,1.228766002872281
2018-10-16,1.1853296790627483,1.2800012456752605,1.2270406626858372,1.2152191271606865,1.1508889956892971,1.1787651861719013,1.2139270996090945,1.263131301848522,1.265725818138896,1.263131301848522,1.2618341785893121
2018-10-17,1.1841134129906197,1.2775973037487192,1.2251521286800635,1.213621456592229,1.1500242656032211,1.1789753796796512,1.212344805245091,1.2609440582839708,1.2635055595414693,1.2609440582839708,1.2596633984597707
2018-10-18,1.169367980664918,1.2518343619248304,1.204905917621637,1.1952992900627841,1.138490611380384,1.1619497056273391,1.1941647969024647,1.2371784684109903,1.239435551570612,1.2371784684109903,1.2360496264791
2018-10-19,1.1683218316842032,1.249159053222879,1.202795674731246,1.1937363639747116,1.1379464013196723,1.1613191251088042,1.1926231666284604,1.2348013194419247,1.237012938813367,1.2348013194419247,1.2336951538053245
2018-10-22,1.1646037425958948,1.2547931702183053,1.2072414986051536,1.1930629086514597,1.1315299278621014,1.156106326135464,1.1918293003456326,1.238741523202681,1.2412112879334551,1.238741523202681,1.2375066204716245
2018-10-23,1.1589368883651727,1.2493589734896735,1.2029569049435889,1.1874777280655782,1.125836059518671,1.1502209079467534,1.1862415369545747,1.2332639141534687,1.2357401659741394,1.2332639141534687,1.2320257939467831
2018-10-24,1.124584320338765,1.1975973610259454,1.1621134096937933,1.1475960967841907,1.0968572796198108,1.1153708245173946,1.146587553543438,1.1846847372561744,1.18667565389142,1.1846847372561744,1.183688701604707
2018-10-25,1.144136816848673,1.2335447901720635,1.1906996995690506,1.1720717485690166,1.1107207070725225,1.1353812463656117,1.1708424521186076,1.2175683529507133,1.2200269507553048,1.2175683529507133,1.2163389797339468
2018-10-26,1.125572947182366,1.206620491341354,1.1694014457946567,1.1510740042681462,1.0951668803276635,1.1154128632189444,1.1499583305049546,1.1922310872468795,1.1944476269779074,1.1922310872468795,1.191122456088413
2018-10-29,1.1212035323079197,1.1869377498436455,1.1537688609858434,1.1426576256091665,1.0970163601760814,1.1092331741193837,1.141757114003868,1.1755730539266371,1.1773285975097687,1.1755730539266371,1.1746943273243593
2018-10-30,1.139473068913635,1.2037326807563429,1.1671477905547025,1.1606877845640873,1.116113756609317,1.1256703063499958,1.1598102699700699,1.1927051841791132,1.1944095810969666,1.1927051841791132,1.191851931151936
2018-10-31,1.1502912704182182,1.2291294135981559,1.1873280119184477,1.174889770109503,1.1198788056294424,1.137693374941432,1.1737959424805866,1.2151209706422759,1.217280817366162,1.2151209706422759,1.2140404262348885
2018-11-01,1.1633685620020109,1.2454635078568812,1.2002586642361979,1.1887728418994326,1.1314626305879232,1.1498005209312536,1.1876315168193525,1.2308036421582376,1.233063070484169,1.2308036421582376,1.2296733943748985
2018-11-02,1.1544420077433208,1.2270546662984918,1.1857200646035901,1.1779972375355514,1.1276742231163575,1.1429902513131573,1.1770020336609475,1.2144407312332512,1.2163881823205247,1.2144407312332512,1.2134660916395401
2018-11-05,1.160621314204887,1.2256503620380834,1.184607995574764,1.1830401128810177,1.1386196875224552,1.149296056517368,1.1821683613781555,1.2147639390782192,1.216447935666424,1.2147639390782192,1.2139207094240585
2018-11-06,1.1679132937933798,1.234031443715691,1.1912463495973131,1.1906152719836003,1.1454151863264015,1.1565687518525138,1.1897276551110427,1.2229332079842672,1.2246496926690384,1.2229332079842672,1.2220737479847508
2018-11-07,1.1920628822775743,1.2690040711858295,1.218912956112899,1.2161320832082056,1.1620501568009254,1.1813295469523066,1.2150610579980465,1.2553946569644312,1.2574951248278456,1.2553946569644312,1.2543435289737725
2018-11-08,1.189126622977798,1.2654106527470435,1.216084367787449,1.2131679368281922,1.1596760565744275,1.179185573187401,1.2121091047466463,1.2519684858726656,1.2540433865894849,1.2519684858726656,1.2509301190400646
2018-11-09,1.1758775364422758,1.246519320200403,1.2012062810116582,1.1997042308348056,1.1512487669074292,1.1676669690098502,1.1987500224024028,1.2345248802195938,1.2363786998702735,1.2345248802195938,1.2335968281482232
2018-11-12,1.1497339596504323,1.2088767204076287,1.1714793232956355,1.17357267137624,1.1358621332860055,1.145848883004413,1.1728410327814287,1.1999459889215018,1.2013316440673714,1.1999459889215018,1.1992515828242527
2018-11-13,1.1486801423643749,1.2087349096469393,1.171366703671219,1.1724593777853036,1.1338403388463787,1.1437049092347926,1.1717089329285666,1.1995458630241647,1.2009710041626216,1.1995458630241647,1.1988317490412652
2018-11-14,1.1399670666422113,1.197873707199445,1.1627410504673295,1.163888524072042,1.1274514835023892,1.1358857107842117,1.1631828277629346,1.189289770717115,1.190622240481814,1.189289770717115,1.188621933933153
2018-11-15,1.1562215968464176,1.2203954101525076,1.1806564077577126,1.1793960667196486,1.1362979347629563,1.1477406245647332,1.1785535412618273,1.2099563587737943,1.2115728482022685,1.2099563587737943,1.2091467034546002
2018-11-16,1.1572994466677942,1.2187526073240467,1.1793539588990356,1.1813044220350186,1.1415047703281145,1.1507253723653532,1.1805304027159906,1.2092601124554796,1.2107320178482444,1.2092601124554796,1.2085226061341923
2018-11-19,1.1294175178157613,1.1784666650941726,1.1474066403798104,1.1565642378704288,1.1314239689144892,1.1312614536325714,1.1560923995426347,1.1730960362833978,1.173937349673818,1.1730960362833978,1.1726733372200113
2018-11-20,1.108056925279335,1.156673791012541,1.1300179513486075,1.1345485914468385,1.1092727193605498,1.110326180354969,1.1340731837770652,1.1512369165800185,1.152088042584933,1.1512369165800185,1.1508093629888474
2018-11-21,1.1140573433450847,1.1645514202530312,1.136324943046267,1.139975798873336,1.1123305157001604,1.1141096634756096,1.1394521416008867,1.1584707909933372,1.159420676655494,1.1584707909933372,1.1579938969033574
2018-11-23,1.1065894018908995,1.1560812053664202,1.1295517949206215,1.1327631020192022,1.1063453416568085,1.1066688133389786,1.132264323455879,1.1503298336071126,1.151229157256812,1.1503298336071126,1.1498782072319862
