date,WF Expanding,WF Rolling,Fixed Parameter,50/50 G-D,100% G,100% D,SPY
2022-09-12,1.921604407919419,1.9106830426891381,1.834378550545403,1.762646099922971,1.8987523685242944,1.5941737040216635,1.6242823694455775
2022-09-13,1.838297816131209,1.8253361219768278,1.7511149778218627,1.683032107873257,1.7985278127543924,1.5343121570421863,1.553654523271099
2022-09-14,1.843420304563722,1.8311195296822542,1.7571052791343327,1.6887388743356062,1.8082637296006157,1.5364114950063323,1.5595829938487922
2022-09-15,1.8218979917464007,1.8078332770930177,1.733512966399809,1.6661759508532314,1.7742484106242153,1.5242575792269373,1.5418766283848704
2022-09-16,1.809973453847022,1.795751152669348,1.7217673431893732,1.6549031571476234,1.7609536620150077,1.5150538613510036,1.5301154245821613
2022-09-19,1.8229291082677548,1.8088692929398418,1.7345708942756721,1.6672269501872303,1.7752579282641936,1.5253117611510079,1.5419813990588553
2022-09-20,1.8025705934082952,1.7895345756984005,1.7167694263556346,1.650175549014562,1.76103425110022,1.5063328710763357,1.524281651176926
2022-09-21,1.7733316146652638,1.7603386377674488,1.6886315944038108,1.6231262904185442,1.731367949191875,1.4823256333783792,1.4976923438199559
2022-09-22,1.760250458504844,1.7461491908838886,1.673916073532306,1.6088663703321184,1.7108185982984074,1.473873296214639,1.4851120297423666
2022-09-23,1.7245217473221852,1.7120892716746263,1.6426405833057294,1.5789931305099147,1.6849841999076738,1.4413962679579573,1.4602292003174036
2022-09-26,1.7013253792304488,1.6909867978837174,1.624396405648708,1.5617589953106663,1.6747942042429305,1.4186485267677273,1.4457836661715018
2022-09-27,1.699203142511568,1.689476118986565,1.6235981644213382,1.5611188882022236,1.6766294975931073,1.4159310232218463,1.4420929115689534
2022-09-28,1.736050897486045,1.7246839822736784,1.6558709784150778,1.5918422091037936,1.7035885852810184,1.4488957479031712,1.4704680679260838
2022-09-29,1.7037274295542817,1.694041413577893,1.6208535251431568,1.5576973062053079,1.6587305609195049,1.4248899077649195,1.439751465100044
2022-09-30,1.6822964921578025,1.6736394970529784,1.597736231933088,1.5351466733120511,1.629454363876902,1.4087828871753953,1.4174878808783655
2022-10-03,1.7308332002083404,1.7223513692793402,1.6425081666420056,1.5779950292476699,1.6724302271461409,1.4502697874769606,1.4549113388468418
2022-10-04,1.7849096087899032,1.7759125564160239,1.6948415961410725,1.6284057956369657,1.7276681494307102,1.4950303887377339,1.4999941047547898
