method,config_id,year,n_days,start_date,end_date,total_return,cagr,ann_vol,sharpe,sortino,max_drawdown,calmar,annual_turnover,avg_g_weight
benchmark_spy,benchmark_spy,2022,251,2022-01-03,2022-12-30,-0.18175224376771015,-0.18240589651164218,0.2419461167239751,-0.7109988606788735,-1.2130803166839623,-0.2449633490418862,-0.7446252560845446,0.0,
benchmark_spy,benchmark_spy,2023,250,2023-01-03,2023-12-29,0.2617602833042352,0.264109420220338,0.13049358214769116,1.862042154570342,3.3507053386893433,-0.09974273284741308,2.6479063955904825,0.0,
benchmark_spy,benchmark_spy,2024,252,2024-01-02,2024-12-31,0.24886245436869903,0.24886245436869903,0.1254400731552356,1.8352523944858123,2.610338137955113,-0.08405622632201915,2.9606665116669375,0.0,
benchmark_spy,benchmark_spy,2025,250,2025-01-02,2025-12-31,0.17719073766190951,0.17872802974924218,0.19447736954149986,0.9419595546351801,1.1753781349687027,-0.18755307864853654,0.9529463927604623,0.0,
benchmark_spy,benchmark_spy,2026,93,2026-01-02,2026-05-15,0.08745111366217029,0.2550431472872394,0.13749646164943735,1.7215771477200137,2.8976938179959637,-0.08884972554386894,2.8705001138277417,0.0,
smooth_core_only,core_a0.50_tilt0.20_tau1.0_eta0.05,2016,7,2016-12-21,2016-12-30,-0.013758265475122045,-0.3927024148236562,0.05867752665157015,-8.461787296701514,-10.480819346397384,-0.012541301297468999,-31.312732666976814,0.3533536707271989,0.3348763959478448
smooth_core_only,core_a0.50_tilt0.20_tau1.0_eta0.05,2017,249,2017-01-03,2017-12-29,0.22454757110262236,0.22753987624432326,0.07008221284660604,2.961574436184343,4.21770903183618,-0.021400516022016203,10.632448115280825,0.8567544971681647,0.4080993535764031
smooth_core_only,core_a0.50_tilt0.20_tau1.0_eta0.05,2018,251,2018-01-02,2018-12-31,-0.03592516971291615,-0.03606568533355026,0.1740032688438148,-0.12383047718374672,-0.2589670716275346,-0.19324079916171988,-0.18663597692621584,1.117102021503361,0.4251983823869964
smooth_core_only,core_a0.50_tilt0.20_tau1.0_eta0.05,2019,252,2019-01-02,2019-12-31,0.3228400027281275,0.3228400027281275,0.13428845140586404,2.1518721506243788,2.999921196176159,-0.08000522176620861,4.035236645822082,1.5435087244229189,0.4872916673465492
smooth_core_only,core_a0.50_tilt0.20_tau1.0_eta0.05,2020,253,2020-01-02,2020-12-31,0.2454301230700051,0.24435016395936326,0.34510164273672383,0.8079413514946042,0.8042663633142715,-0.3299148185165708,0.7406462221310929,1.2897634817865267,0.4870486161668323
