date,Joint Local Best,Old Best + Bond/Credit Incremental,Existing Smooth Score Best Local,50/50 G-D Buy & Hold,100% G Buy & Hold,SPY Buy & Hold
2025-01-29,3.748267866944476,3.674884628965407,3.53649201363805,3.115269678105956,3.9387439971911116,2.796723915003812
2025-01-30,3.7662534195553383,3.692645848955166,3.5539585591702,3.1288699868979237,3.9518126961365465,2.8117343306591187
2025-01-31,3.7402131650417827,3.6668919634432373,3.5285258816610146,3.1096857454004616,3.934905082526658,2.79677038687768
2025-02-03,3.7152437580037194,3.6427406474353337,3.5060473767188327,3.0851661699341384,3.892509481639156,2.7779492774662122
2025-02-04,3.7371036844284795,3.6636467501949435,3.525090326080747,3.1095768453912838,3.942339974283591,2.7965844993774946
2025-02-05,3.764922470967447,3.6908971235786363,3.5512198534717343,3.13296652983743,3.9727024071739505,2.807923636898243
2025-02-06,3.7611658033995985,3.6866831123330295,3.5469577357463113,3.1355945973591246,3.9938283688014815,2.817682730669772
2025-02-07,3.7347909154718284,3.6610968038816276,3.522074909588321,3.1108116211495624,3.953595852398661,2.7918908399942732
2025-02-10,3.763487624900875,3.6888739855702593,3.549204355085217,3.1380530658886654,3.998666912045063,2.810851365032059
2025-02-11,3.7748870661921505,3.7005701334251278,3.559393839250665,3.1433944027237484,3.9921304911934126,2.8129890712865504
2025-02-12,3.755704064545105,3.681356865714206,3.5419297636413027,3.130830905383668,3.9870674830800605,2.8039270556418963
2025-02-13,3.79352389060275,3.7180242527937,3.578512122895358,3.1657444259633736,4.04245740487957,2.8335296400735555
2025-02-14,3.794474386156572,3.718597037265656,3.5803448406976655,3.1692156884637326,4.055560438672104,2.833390224451952
2025-02-18,3.814893880881428,3.7388103318737826,3.598877927515206,3.1847220593401815,4.070389209770891,2.8417086900911497
2025-02-19,3.826891790850216,3.750958542436533,3.6089183771933686,3.191920005731907,4.070600621208692,2.8484006401072586
2025-02-20,3.8220710328256766,3.746674885090079,3.602916800899213,3.184793925515575,4.051694759718689,2.8365503119551065
2025-02-21,3.767161556257385,3.694142664111017,3.546882706388861,3.1301430226761178,3.9543265898287694,2.788033674359529
2025-02-24,3.752701690496248,3.6810017246352125,3.5289749274281648,3.1106475281674784,3.9059087030803976,2.7753468524589
2025-02-25,3.7421599706615054,3.6717496355477275,3.5134419275317397,3.093666533680896,3.8573962378554754,2.7615447055571565
2025-02-26,3.735896142612063,3.6648101822866797,3.5126590035712204,3.0950963504036975,3.8817735351478198,2.762938861810906
2025-02-27,3.6858262954873693,3.616930818039153,3.4534179780610725,3.0405920717332267,3.765061693630087,2.7188370523459136
2025-02-28,3.734023089984541,3.6640314292483667,3.5009306771650657,3.082696279637735,3.826181643204041,2.7612658743045206
2025-03-03,3.6726512591495246,3.6040035136980837,3.4342098229987186,3.0246884119056205,3.7228600304549166,2.712888652335262
2025-03-04,3.62579985346049,3.558139896201941,3.398267249673242,2.991694955808258,3.708185268295954,2.6807765866440256
2025-03-05,3.658882172641464,3.590833344278481,3.433922222281626,3.021829035666018,3.760590702730568,2.7095891492010753
2025-03-06,3.6056025010703214,3.5372510535353436,3.3696777575867394,2.9708204842079855,3.6528706910526396,2.6614907584797374
2025-03-07,3.6456603546749546,3.5761510555962097,3.403879081848486,3.0025578690818597,3.68223418822198,2.676408230382593
2025-03-10,3.562310280099268,3.4918035354095673,3.306490753720334,2.9263048507821194,3.5317877697816873,2.6051203739930697
2025-03-11,3.52613139975495,3.4575599240571075,3.2808579577802695,2.8992106356442675,3.5216469819868,2.5834644801955213
2025-03-12,3.5358895412006257,3.4694522843255373,3.302833146559651,2.910572744749915,3.5716197689116873,2.597173683349529
2025-03-13,3.490815407368556,3.423724804328315,3.253404327357101,2.872088808953094,3.504142030056518,2.5625521364034305
2025-03-14,3.5646395631596657,3.497685834266026,3.3293217285563164,2.9338204100725283,3.599087777418492,2.615483602139023
2025-03-17,3.596658588852335,3.5278980017444326,3.3542755871434213,2.959919637181911,3.6175702117647752,2.6356523959256575
2025-03-18,3.5614927812592723,3.491323641775989,3.3131645037060267,2.93067525796488,3.559794051528762,2.6071651364951114
2025-03-19,3.5984388730176438,3.528840626765464,3.352636705748122,2.9611588220613854,3.610225094616614,2.6355594521779224
