date,Joint WF Expanding,Joint WF Rolling,Old+Credit WF Expanding,Old+Credit WF Rolling,Existing Smooth Score Best Local,50/50 G-D Buy & Hold,100% G Buy & Hold,SPY Buy & Hold
2022-05-25,1.930116749427733,1.9857369746449343,1.993988807144209,2.050590560096337,2.0009035247580744,1.7169654978676603,1.7802087458329938,1.5637764407009238
2022-05-26,1.9667532565036148,2.0218820887029976,2.0305733900578997,2.086839999516031,2.0382964711977762,1.7516107453782386,1.8264080788337138,1.5950228481793172
2022-05-27,2.014640476915252,2.0690006569245183,2.0783046214005534,2.1340300047628062,2.0872467904362346,1.7965505006020757,1.8884068700269612,1.6341792404218682
2022-05-31,2.0002841382257666,2.0538546918520497,2.0631687273613326,2.118134572247199,2.072256236951929,1.7841397288484604,1.8783841504012795,1.6250099545990337
2022-06-01,1.9878372957996044,2.04099051791076,2.050259056669328,2.1048071284540217,2.0593315686696765,1.7731500271016352,1.8673953849853957,1.6118659998152083
2022-06-02,2.0228905613941333,2.0750293642719475,2.0848891558270832,2.138661848824985,2.095311488435917,1.80486985773795,1.918198305068412,1.642561463079911
2022-06-03,1.990060320652348,2.0430674062843726,2.0524067977048475,2.1068096228345654,2.0615234318041544,1.77585581261301,1.8704711161834222,1.6156045498292568
2022-06-06,1.9938686554801082,2.0468677313094052,2.056251968196994,2.1106618939878037,2.0654576452472333,1.779265377253893,1.875075917962142,1.6205236945821755
2022-06-07,2.0157779982323185,2.069470916680163,2.0789366356212513,2.1340395352677985,2.0881714808825396,1.7989816359371733,1.8945335335625662,1.636068192005725
2022-06-08,1.9931802534929344,2.045902033140571,2.0553251330998563,2.1094931290498726,2.0647045472700247,1.778415876068323,1.8770402024360264,1.6182805645779057
2022-06-09,1.9441776083623223,1.996029734475517,2.005135504267757,2.0583348371901824,2.0140065027854157,1.7355572318317516,1.8264212390279102,1.579793176022517
2022-06-10,1.8825187351462676,1.9337407317979574,1.9423316675364237,1.9947057713821807,1.9503284150815443,1.6829429743065942,1.7579603631784972,1.5339861000744854
2022-06-13,1.8031673484799384,1.8528420513638426,1.8608942544324902,1.9116192646304115,1.8684460212164313,1.6135378997630505,1.6782759525099729,1.4757434261876146
2022-06-14,1.8030570047585044,1.8519167031183357,1.8601206301598434,1.910225616483763,1.8676572948235528,1.6121537192348376,1.6834838285616645,1.47129651932858
2022-06-15,1.8314355364967523,1.878782371085301,1.8874444333099691,1.9366805367553934,1.894762035298698,1.6345763693876685,1.722435820610652,1.4922717525609157
2022-06-16,1.7644569245961106,1.811302016835085,1.8195045893712898,1.867862460979439,1.8268650682390575,1.5762867033194818,1.6531054889294676,1.4428835392301307
2022-06-17,1.7725055337606161,1.817579866646116,1.8258832074948184,1.8728511679059043,1.8324048060863534,1.5810093248376227,1.6701918356091203,1.4459934975429307
2022-06-21,1.815990167296642,1.861790944748593,1.8703041726609966,1.9181052984284066,1.876743493689318,1.6193151539139137,1.712959786582649,1.4823943069017766
2022-06-22,1.8097658346698031,1.8547419753170429,1.8632170164621065,1.9102676330373558,1.8691551799777675,1.6129906450813096,1.709762154361491,1.4797067335716148
2022-06-23,1.829713446955357,1.872833799875569,1.8813689496224155,1.9267984342204139,1.885471887888666,1.6279124993552025,1.7379830618819492,1.4942117249225846
2022-06-24,1.8894486965232669,1.93260175732314,1.9413730805364084,1.9870299768563624,1.9444423410758975,1.679258908136629,1.800171512024487,1.541718535838238
2022-06-27,1.8817721235410205,1.9264328749740753,1.9352213941363294,1.9822553092974433,1.9398112041499775,1.6746200438295784,1.7862526769721263,1.5358295883951234
